A.J. Ellis,C,LAD,RIGHT
A.J. Pierzynski,C,ATL,LEFT
Adrian Nieto,C,CWS,SWITCH
Alex Avila,C,DET,LEFT
Ali Solis,C,LAD,RIGHT
Anthony Recker,C,NYM,RIGHT
Austin Romine,C,NYY,RIGHT
Bobby Wilson,C,TBR,RIGHT
Brett Hayes,C,CLE,RIGHT
Brian McCann,C,NYY,LEFT
Bryan Holaday,C,DET,RIGHT
Buster Posey,C,SFG,RIGHT
Caleb Joseph,C,BAL,RIGHT
Cameron Rupp,C,PHI,RIGHT
Carlos Corporan,C,TEX,SWITCH
Carlos Ruiz,C,PHI,RIGHT
Carlos Sanchez,C,CWS,SWITCH
Chris Gimenez,C,TEX,RIGHT
Chris Herrmann,C,MIN,LEFT
Chris Iannetta,C,LAA,RIGHT
Chris Stewart,C,PIT,RIGHT
Christian Bethancourt,C,ATL,RIGHT
Christian Vazquez,C,BOS,RIGHT
Dan Butler,C,WAS,RIGHT
David Ross,C,CHC,RIGHT
Derek Norris,C,SDP,RIGHT
Devin Mesoraco,C,CIN,RIGHT
Dioner Navarro,C,TOR,SWITCH
Drew Butera,C,LAA,RIGHT
Eric Fryer,C,MIN,RIGHT
Erik Kratz,C,KCR,RIGHT
Evan Gattis,C,HOU,RIGHT
Francisco Cervelli,C,PIT,RIGHT
George Kottaras,C,CWS,LEFT
Geovany Soto,C,CWS,RIGHT
Gerald Laird,C,ARI,RIGHT
Hank Conger,C,HOU,SWITCH
Hector Sanchez,C,SFG,SWITCH
J.P. Arencibia,C,BAL,RIGHT
Jarrod Saltalamacchia,C,MIA,SWITCH
Jason Castro,C,HOU,LEFT
Jeff Mathis,C,MIA,RIGHT
Jesus Sucre,C,SEA,RIGHT
John Baker,C,SEA,LEFT
John Jaso,C,TBR,LEFT
John Ryan Murphy,C,NYY,RIGHT
Jonathan Lucroy,C,MIL,RIGHT
Jordan Pacheco,C,ARI,RIGHT
Jose Lobaton,C,WAS,SWITCH
Josh Phegley,C,OAK,RIGHT
Josh Thole,C,TOR,LEFT
Josmil Pinto,C,MIN,RIGHT
Juan Centeno,C,MIL,LEFT
Kurt Suzuki,C,MIN,RIGHT
Martin Maldonado,C,MIL,RIGHT
Matt Wieters,C,BAL,SWITCH
Michael McKenry,C,COL,RIGHT
Miguel Montero,C,CHC,LEFT
Mike Zunino,C,SEA,RIGHT
Neftali Soto,C,CWS,RIGHT
Nick Hundley,C,COL,RIGHT
Rene Rivera,C,TBR,RIGHT
Robinson Chirinos,C,TEX,RIGHT
Russell Martin,C,TOR,RIGHT
Ryan Hanigan,C,BOS,RIGHT
Salvador Perez,C,KCR,RIGHT
Sandy Leon,C,BOS,SWITCH
Steve Clevenger,C,BAL,LEFT
Tim Federowicz,C,SDP,RIGHT
Tony Cruz,C,STL,RIGHT
Tony Sanchez,C,PIT,RIGHT
Travis d'Arnaud,C,NYM,RIGHT
Tucker Barnhart,C,CIN,SWITCH
Tuffy Gosewisch,C,ARI,RIGHT
Tyler Flowers,C,CWS,RIGHT
Welington Castillo,C,CHC,RIGHT
Wil Nieves,C,SDP,RIGHT
Wilin Rosario,C,COL,RIGHT
Wilson Ramos,C,WAS,RIGHT
Yadier Molina,C,STL,RIGHT
Yan Gomes,C,CLE,RIGHT
Yasmani Grandal,C,LAD,SWITCH
Adam Dunn,1B,OAK,LEFT
Adam Duvall,1B,SFG,RIGHT
Adam LaRoche,1B,CWS,LEFT
Adam Lind,1B,MIL,LEFT
Adrian Gonzalez,1B,LAD,LEFT
Albert Pujols,1B,LAA,RIGHT
Allan Dykstra,1B,TBR,LEFT
Anthony Rizzo,1B,CHC,LEFT
Ben Paulsen,1B,COL,RIGHT
Billy Butler,1B,OAK,RIGHT
Brandon Belt,1B,SFG,LEFT
Brandon Moss,1B,CLE,LEFT
Brayan Pena,1B,CIN,SWITCH
C.J. Cron,1B,LAA,RIGHT
Carlos Beltran,1B,NYY,SWITCH
Carlos Santana,1B,CLE,SWITCH
Chris Carter,1B,HOU,RIGHT
Chris Colabello,1B,TOR,LEFT
Chris Davis,1B,BAL,LEFT
Chris Parmelee,1B,BAL,LEFT
Corey Hart,1B,PIT,RIGHT
Dan Johnson,1B,CIN,LEFT
Daric Barton,1B,TOR,RIGHT
Darin Ruf,1B,PHI,RIGHT
David DeJesus,1B,TBR,LEFT
David Ortiz,1B,BOS,LEFT
Delmon Young,1B,BAL,RIGHT
Edwin Encarnacion,1B,TOR,RIGHT
Efren Navarro,1B,LAA,LEFT
Eric Hosmer,1B,KCR,LEFT
Freddie Freeman,1B,ATL,LEFT
Garrett Jones,1B,NYY,LEFT
Ike Davis,1B,OAK,LEFT
Jake Goebbert,1B,SDP,LEFT
James Loney,1B,TBR,LEFT
Jeff Baker,1B,MIA,RIGHT
Jesus Aguilar,1B,CLE,RIGHT
Jesus Guzman,1B,HOU,RIGHT
Jesus Montero,1B,SEA,RIGHT
Joe Mauer,1B,MIN,LEFT
Joey Votto,1B,CIN,LEFT
John Mayberry,1B,NYM,RIGHT
Jon Singleton,1B,HOU,LEFT
Jose Abreu,1B,CWS,RIGHT
Josh Satin,1B,CIN,RIGHT
Justin Bour,1B,MIA,LEFT
Justin Morneau,1B,COL,LEFT
Justin Smoak,1B,TOR,SWITCH
Kendrys Morales,1B,KCR,SWITCH
Kennys Vargas,1B,MIN,SWITCH
Kyle Blanks,1B,TEX,RIGHT
Logan Morrison,1B,SEA,LEFT
Lucas Duda,1B,NYM,LEFT
Luis Jimenez,1B,BOS,RIGHT
Marc Krauss,1B,LAA,LEFT
Mark Canha,1B,OAK,RIGHT
Mark Reynolds,1B,STL,RIGHT
Mark Teixeira,1B,NYY,SWITCH
Matt Adams,1B,STL,LEFT
Matt Duffy,1B,SFG,RIGHT
Miguel Cabrera,1B,DET,RIGHT
Mike Carp,1B,WAS,LEFT
Mike Napoli,1B,BOS,RIGHT
Mitch Moreland,1B,TEX,LEFT
Nate Freiman,1B,OAK,RIGHT
Nelson Cruz,1B,SEA,RIGHT
Nick Evans,1B,ARI,RIGHT
Nick Swisher,1B,CLE,SWITCH
Paul Goldschmidt,1B,ARI,RIGHT
Prince Fielder,1B,TEX,LEFT
Ryan Howard,1B,PHI,LEFT
Ryan Raburn,1B,CLE,RIGHT
Stephen Vogt,1B,OAK,LEFT
Steve Pearce,1B,BAL,RIGHT
Tommy Medica,1B,SDP,RIGHT
Travis Ishikawa,1B,SFG,LEFT
Tyler Moore,1B,WAS,RIGHT
Victor Martinez,1B,DET,SWITCH
Yonder Alonso,1B,SDP,LEFT
Aaron Hill,2B,ARI,RIGHT
Alberto Callaspo,2B,ATL,SWITCH
Alex Guerrero,2B,LAD,RIGHT
Asdrubal Cabrera,2B,TBR,SWITCH
Ben Zobrist,2B,OAK,SWITCH
Brandon Hicks,2B,SFG,RIGHT
Brandon Phillips,2B,CIN,RIGHT
Brian Dozier,2B,MIN,RIGHT
Chase Utley,2B,PHI,LEFT
Cole Figueroa,2B,NYY,LEFT
Dan Uggla,2B,WAS,RIGHT
Daniel Murphy,2B,NYM,LEFT
Danny Espinosa,2B,WAS,SWITCH
Danny Worth,2B,ARI,RIGHT
Darwin Barney,2B,LAD,RIGHT
Dee Gordon,2B,MIA,LEFT
Derek Dietrich,2B,MIA,LEFT
Devon Travis,2B,TOR,RIGHT
DJ LeMahieu,2B,COL,RIGHT
Donovan Solano,2B,MIA,RIGHT
Dustin Pedroia,2B,BOS,RIGHT
Ed Lucas,2B,TEX,RIGHT
Ehire Adrianza,2B,SFG,SWITCH
Elliot Johnson,2B,TEX,SWITCH
Eric Sogard,2B,OAK,LEFT
Gordon Beckham,2B,CWS,RIGHT
Greg Garcia,2B,STL,RIGHT
Gregorio Petit,2B,NYY,RIGHT
Hector Gomez,2B,MIL,RIGHT
Howie Kendrick,2B,LAD,RIGHT
Ian Kinsler,2B,DET,RIGHT
Jace Peterson,2B,ATL,LEFT
Jason Kipnis,2B,CLE,LEFT
Javier Baez,2B,CHC,RIGHT
Jedd Gyorko,2B,SDP,RIGHT
Jemile Weeks,2B,BOS,SWITCH
Joe Panik,2B,SFG,RIGHT
Johnny Giavotella,2B,LAA,RIGHT
Jonathan Schoop,2B,BAL,RIGHT
Jordany Valdespin,2B,MIA,LEFT
Jose Altuve,2B,HOU,RIGHT
Josh Wilson,2B,DET,RIGHT
Juan Perez,2B,CIN,RIGHT
Juan Perez,2B,CIN,RIGHT
Kolten Wong,2B,STL,LEFT
Kris Negron,2B,CIN,RIGHT
Leury Garcia,2B,CWS,SWITCH
Logan Forsythe,2B,TBR,RIGHT
Luis Sardinas,2B,MIL,SWITCH
Maicer Izturis,2B,TOR,SWITCH
Martin Prado,2B,MIA,RIGHT
Micah Johnson,2B,CWS,LEFT
Munenori Kawasaki,2B,TOR,LEFT
Neil Walker,2B,PIT,SWITCH
Nick Punto,2B,ARI,SWITCH
Omar Infante,2B,KCR,RIGHT
Pedro Ciriaco,2B,ATL,RIGHT
Phil Gosselin,2B,ATL,RIGHT
Ramiro Pena,2B,SDP,SWITCH
Rickie Weeks,2B,SEA,RIGHT
Robinson Cano,2B,SEA,LEFT
Rougned Odor,2B,TEX,LEFT
Ryan Goins,2B,TOR,LEFT
Scooter Gennett,2B,MIL,LEFT
Sean Rodriguez,2B,PIT,RIGHT
Stephen Drew,2B,NYY,LEFT
Steve Lombardozzi,2B,PIT,SWITCH
Steve Tolleson,2B,TOR,RIGHT
Tommy La Stella,2B,CHC,LEFT
Tyler Ladendorf,2B,CWS,RIGHT
Tyler Pastornicky,2B,ATL,RIGHT
Adrian Beltre,3B,TEX,RIGHT
Alex Rodriguez,3B,NYY,RIGHT
Anthony Rendon,3B,WAS,RIGHT
Aramis Ramirez,3B,MIL,RIGHT
Brent Morel,3B,PIT,RIGHT
Brett Lawrie,3B,OAK,RIGHT
Brock Holt,3B,BOS,LEFT
Casey McGehee,3B,SFG,RIGHT
Cesar Hernandez,3B,PHI,SWITCH
Charlie Culberson,3B,COL,RIGHT
Chase Headley,3B,NYY,SWITCH
Chris Johnson,3B,ATL,RIGHT
Chris Nelson,3B,PHI,RIGHT
Cody Asche,3B,PHI,LEFT
Conor Gillaspie,3B,CWS,LEFT
Danny Valencia,3B,TOR,RIGHT
David Freese,3B,LAA,RIGHT
David Wright,3B,NYM,RIGHT
Dayan Viciedo,3B,TOR,RIGHT
Evan Longoria,3B,TBR,RIGHT
Freddy Galvis,3B,PHI,SWITCH
Ian Stewart,3B,WAS,LEFT
Jake Lamb,3B,ARI,LEFT
Jimmy Paredes,3B,BAL,SWITCH
Joaquin Arias,3B,SFG,RIGHT
Josh Donaldson,3B,TOR,RIGHT
Josh Harrison,3B,PIT,RIGHT
Juan Francisco,3B,TBR,LEFT
Juan Uribe,3B,LAD,RIGHT
Justin Turner,3B,LAD,RIGHT
Kelly Johnson,3B,ATL,LEFT
Kevin Kouzmanoff,3B,TEX,RIGHT
Kyle Seager,3B,SEA,LEFT
Lonnie Chisenhall,3B,CLE,LEFT
Luis Jimenez,3B,MIL,RIGHT
Luis Valbuena,3B,HOU,LEFT
Manny Machado,3B,BAL,RIGHT
Marcus Semien,3B,OAK,RIGHT
Matt Carpenter,3B,STL,LEFT
Matt Dominguez,3B,HOU,RIGHT
Mike Aviles,3B,CLE,RIGHT
Mike Moustakas,3B,KCR,LEFT
Mike Olt,3B,CHC,RIGHT
Nick Castellanos,3B,DET,RIGHT
Nolan Arenado,3B,COL,RIGHT
Pablo Sandoval,3B,BOS,SWITCH
Pedro Alvarez,3B,PIT,LEFT
Ramon Santiago,3B,TOR,SWITCH
Ryan Flaherty,3B,BAL,LEFT
Ryan Roberts,3B,KCR,RIGHT
Ryan Wheeler,3B,LAA,LEFT
Todd Frazier,3B,CIN,RIGHT
Trevor Plouffe,3B,MIN,RIGHT
Will Middlebrooks,3B,SDP,RIGHT
Yangervis Solarte,3B,SDP,SWITCH
Adam Rosales,SS,TEX,LEFT
