Team,1B_L,1B_R,2B_L,2B_R,3B_L,3B_R,HR_L,HR_R
Angels,98,100,95,96,91,90,91,94
Orioles,102,102,101,99,85,89,115,106
Red Sox,104,103,121,110,124,87,89,104
White Sox,97,101,99,96,104,82,107,109
Indians,102,99,104,104,80,83,106,95
Tigers,102,101,93,102,124,129,98,99
Royals,100,101,104,101,122,107,93,93
Twins,101,103,97,104,110,102,94,102
Yankees,100,99,98,95,83,88,115,105
Athletics,99,100,99,101,114,96,90,95
Mariners,99,97,97,96,83,90,99,96
Rays,100,97,96,93,95,100,100,92
Rangers,103,102,100,100,108,112,106,104
Blue Jays,97,96,110,106,102,107,103,107
Diamondbacks,99,99,105,105,118,121,103,101
Braves,99,100,101,97,91,95,97,95
Cubs,101,98,100,98,97,107,97,106
Reds,99,100,96,100,94,91,112,114
Rockies,109,111,106,111,133,125,115,114
Marlins,100,99,98,100,115,116,85,89
Astros,98,99,99,101,106,110,105,105
Dodgers,97,97,98,98,80,75,104,99
Brewers,102,97,99,100,92,109,114,110
Nationals,104,104,102,103,85,84,96,99
Mets,95,97,96,95,88,87,102,101
Phillies,98,99,101,100,96,89,107,108
Pirates,99,102,98,99,84,94,92,88
Cardinals,100,100,96,102,96,95,95,93
Padres,98,97,99,92,95,101,103,94
Giants,100,97,97,96,120,108,81,86
