,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Points,salary,variance,stdev
1,Miguel Cabrera,Miguel Sano,Brian McCann,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.52925,49900.0,296.780329811,17.2273134821
2,Miguel Cabrera,Miguel Sano,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.487583333,49400.0,294.742426021,17.1680641314
3,Miguel Cabrera,Victor Martinez,Josh Reddick,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.475583333,49500.0,284.613627999,16.870495784
4,Miguel Cabrera,Victor Martinez,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.433916667,49000.0,283.893098445,16.8491275277
5,Miguel Cabrera,Victor Martinez,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,110.376583333,49900.0,310.121112427,17.6102558876
6,Miguel Cabrera,Brian McCann,Josh Reddick,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.358583333,48600.0,285.220991365,16.8884869472
7,Miguel Cabrera,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.316916667,48100.0,271.828335546,16.4872173379
8,Miguel Cabrera,Rougned Odor,Miguel Sano,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.30625,49900.0,316.840019863,17.800000558
9,Edwin Encarnacion,Victor Martinez,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.271916667,50000.0,277.724350996,16.6650637861
10,Miguel Cabrera,Shin-Soo Choo,Brian McCann,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.268916667,49800.0,277.15964645,16.648112399
11,Miguel Cabrera,Brian McCann,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,110.259583333,49000.0,305.827136235,17.4879140047
12,Miguel Cabrera,Victor Martinez,Rougned Odor,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.252583333,49500.0,302.239847428,17.3850466617
13,Miguel Cabrera,Shin-Soo Choo,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.22725,49300.0,273.106573159,16.5259363777
14,Miguel Cabrera,Brian McCann,Rich Hill,DJ LeMahieu,Trevor Story,Charlie Blackmon,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.204583333,50000.0,333.24922222,18.2551149605
15,Edwin Encarnacion,Brian McCann,Josh Reddick,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.196583333,49600.0,301.983267146,17.3776657565
16,Miguel Cabrera,Victor Martinez,Jose Altuve,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.19425,50000.0,225.138457543,15.0046145416
17,Miguel Cabrera,Victor Martinez,George Springer,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.169583333,49900.0,199.647497422,14.1296672793
18,Miguel Cabrera,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Charlie Blackmon,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.162916667,49500.0,294.604955998,17.1640600091
19,Edwin Encarnacion,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.154916667,49100.0,285.86424476,16.9075203611
20,Miguel Cabrera,Miguel Sano,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,110.13625,49900.0,332.492555633,18.2343784
21,Miguel Cabrera,Rougned Odor,Brian McCann,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.135583333,48600.0,298.149298245,17.2670002677
22,Miguel Cabrera,Victor Martinez,Jason Kipnis,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,110.127916667,49400.0,200.007584074,14.1424037587
23,Miguel Cabrera,Brian McCann,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Bryce Harper,110.125916667,49300.0,307.783050429,17.5437467614
