"","P1","P2","P3","P4","P5","P6","P7","P8","P9","Points"
"1","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Brian McCann","Jason Kipnis","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","114.78343333328"
"2","Steven Moya","Miguel Cabrera","Brian McCann","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","114.053599999936"
"3","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jason Kipnis","Josh Reddick","Rich Hill","Nolan Arenado","Wilson Ramos","Bryce Harper","114.046199999952"
"4","Russell Martin","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jason Kipnis","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","114.015066666624"
"5","Steven Moya","Miguel Cabrera","Starlin Castro","Brian McCann","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","113.996833333264"
"6","Steven Moya","Prince Fielder","Brian McCann","Jason Kipnis","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","113.93316666656"
"7","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Brian McCann","Jed Lowrie","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","113.75603333328"
"8","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Nomar Mazara","Brian McCann","Jason Kipnis","Rich Hill","Nolan Arenado","Bryce Harper","113.72683333328"
"9","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jason Kipnis","Stephen Vogt","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","113.682866666624"
"10","Steven Moya","Miguel Cabrera","Robinson Chirinos","Jason Kipnis","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","113.621766666608"
"11","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jurickson Profar","Brian McCann","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","113.582499999936"
"12","Miguel Cabrera","Brian McCann","Lonnie Chisenhall","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","113.575633333264"
"13","Justin Upton","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Brian McCann","Jason Kipnis","Rich Hill","Nolan Arenado","Bryce Harper","113.560666666608"
"14","Russell Martin","Steven Moya","Miguel Cabrera","Jason Kipnis","Josh Reddick","Carlos Correa","Rich Hill","Nolan Arenado","Bryce Harper","113.541266666624"
"15","Russell Martin","Troy Tulowitzki","Miguel Cabrera","Jason Kipnis","Lonnie Chisenhall","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","113.537099999952"
"16","Steven Moya","Mark Teixeira","Brian McCann","Jason Kipnis","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","113.511299999904"
"17","Russell Martin","Steven Moya","Miguel Cabrera","Jason Kipnis","Lonnie Chisenhall","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","113.466466666608"
"18","Steven Moya","Miguel Cabrera","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Wilson Ramos","Bryce Harper","113.316366666608"
"19","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Brian McCann","Jason Kipnis","Jacoby Ellsbury","Rich Hill","Nolan Arenado","Bryce Harper","113.294099999952"
"20","Russell Martin","Miguel Cabrera","Nomar Mazara","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","113.28813333328"
"21","Russell Martin","Steven Moya","Miguel Cabrera","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","113.28523333328"
"22","Troy Tulowitzki","Miguel Cabrera","Brian McCann","Lonnie Chisenhall","Jed Lowrie","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","113.278066666608"
"23","Steven Moya","Miguel Cabrera","Starlin Castro","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Wilson Ramos","Bryce Harper","113.259599999936"
"24","Steven Moya","Miguel Cabrera","Josh Reddick","Rich Hill","Nick Hundley","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","113.258066666608"
"25","Troy Tulowitzki","Miguel Cabrera","Nomar Mazara","Jason Kipnis","Evan Gattis","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","113.25163333328"
"26","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jason Kipnis","Evan Gattis","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","113.24873333328"
"27","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Brian McCann","Jason Kipnis","Lonnie Chisenhall","Rich Hill","Nolan Arenado","Bryce Harper","113.245966666608"
"28","Russell Martin","Steven Moya","Miguel Cabrera","Starlin Castro","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","113.228466666608"
"29","Steven Moya","Miguel Cabrera","Jed Lowrie","Evan Gattis","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","113.210199999936"
"30","Steven Moya","Prince Fielder","Jason Kipnis","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Wilson Ramos","Bryce Harper","113.195933333232"
"31","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Evan Gattis","Josh Reddick","Rich Hill","DJ LeMahieu","Nolan Arenado","Bryce Harper","113.17403333328"
"32","Russell Martin","Steven Moya","Prince Fielder","Jason Kipnis","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","113.164799999904"
"33","Justin Upton","Russell Martin","Miguel Cabrera","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","113.121966666608"
"34","Russell Martin","Troy Tulowitzki","Miguel Cabrera","George Springer","Josh Reddick","Rich Hill","Nolan Arenado","Howie Kendrick","Bryce Harper","113.102499999952"
"35","Justin Upton","Troy Tulowitzki","Miguel Cabrera","Jason Kipnis","Evan Gattis","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","113.085466666608"
"36","Troy Tulowitzki","Miguel Cabrera","Nomar Mazara","Brian McCann","Josh Reddick","Rich Hill","Nolan Arenado","Howie Kendrick","Bryce Harper","113.06763333328"
