,P1,P2,P3,P4,P5,P6,P7,P8,P9,Points,salary,variance,stdev
1,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,114.783433333,35000.0,526.804914865,22.9522311522
2,Steven Moya,Miguel Cabrera,Brian McCann,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,114.0536,34800.0,666.761965675,25.8217343661
3,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jason Kipnis,Josh Reddick,Rich Hill,Nolan Arenado,Wilson Ramos,Bryce Harper,114.0462,35000.0,512.481910495,22.6380633115
4,Russell Martin,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jason Kipnis,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,114.015066667,34700.0,539.043706875,23.2173148076
5,Steven Moya,Miguel Cabrera,Starlin Castro,Brian McCann,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,113.996833333,34900.0,492.847233942,22.200162926
6,Steven Moya,Prince Fielder,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,113.933166667,35000.0,444.839647395,21.091222046
7,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Brian McCann,Jed Lowrie,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,113.756033333,34800.0,529.158549579,23.0034464718
8,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Nomar Mazara,Brian McCann,Jason Kipnis,Rich Hill,Nolan Arenado,Bryce Harper,113.726833333,35000.0,566.097934992,23.7928126751
9,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jason Kipnis,Stephen Vogt,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,113.682866667,35000.0,458.78009428,21.4191525108
10,Steven Moya,Miguel Cabrera,Robinson Chirinos,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,113.621766667,35000.0,416.642283936,20.411817262
11,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jurickson Profar,Brian McCann,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,113.5825,34900.0,550.500448448,23.4627459699
12,Miguel Cabrera,Brian McCann,Lonnie Chisenhall,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,113.575633333,35000.0,608.227027318,24.662259169
13,Justin Upton,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Brian McCann,Jason Kipnis,Rich Hill,Nolan Arenado,Bryce Harper,113.560666667,35000.0,666.451521903,25.8157223781
14,Russell Martin,Steven Moya,Miguel Cabrera,Jason Kipnis,Josh Reddick,Carlos Correa,Rich Hill,Nolan Arenado,Bryce Harper,113.541266667,35000.0,431.427158946,20.7708247055
15,Russell Martin,Troy Tulowitzki,Miguel Cabrera,Jason Kipnis,Lonnie Chisenhall,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,113.5371,34900.0,444.022070142,21.0718312005
16,Steven Moya,Mark Teixeira,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,113.5113,34800.0,492.362877671,22.1892513995
17,Russell Martin,Steven Moya,Miguel Cabrera,Jason Kipnis,Lonnie Chisenhall,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,113.466466667,35000.0,476.153880226,21.8209504886
18,Steven Moya,Miguel Cabrera,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Wilson Ramos,Bryce Harper,113.316366667,34800.0,661.962293752,25.7286279026
19,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Brian McCann,Jason Kipnis,Jacoby Ellsbury,Rich Hill,Nolan Arenado,Bryce Harper,113.2941,34900.0,606.906087442,24.6354640192
20,Russell Martin,Miguel Cabrera,Nomar Mazara,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,113.288133333,35000.0,614.035726786,24.7797442841
21,Russell Martin,Steven Moya,Miguel Cabrera,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,113.285233333,34500.0,664.602456762,25.7798847314
22,Troy Tulowitzki,Miguel Cabrera,Brian McCann,Lonnie Chisenhall,Jed Lowrie,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,113.278066667,35000.0,481.541294307,21.9440491776
23,Steven Moya,Miguel Cabrera,Starlin Castro,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Wilson Ramos,Bryce Harper,113.2596,34900.0,623.137490579,24.9627220186
24,Steven Moya,Miguel Cabrera,Josh Reddick,Rich Hill,Nick Hundley,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,113.258066667,35000.0,660.047016586,25.6913802001
25,Troy Tulowitzki,Miguel Cabrera,Nomar Mazara,Jason Kipnis,Evan Gattis,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,113.251633333,35000.0,444.655475482,21.0868555143
26,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jason Kipnis,Evan Gattis,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,113.248733333,34500.0,491.854526481,22.177793544
27,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Brian McCann,Jason Kipnis,Lonnie Chisenhall,Rich Hill,Nolan Arenado,Bryce Harper,113.245966667,34700.0,535.761042067,23.1465125249
28,Russell Martin,Steven Moya,Miguel Cabrera,Starlin Castro,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,113.228466667,34600.0,452.004873057,21.2604062298
29,Steven Moya,Miguel Cabrera,Jed Lowrie,Evan Gattis,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,113.2102,34900.0,385.466842703,19.6333095199
30,Steven Moya,Prince Fielder,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Wilson Ramos,Bryce Harper,113.195933333,35000.0,621.9277826,24.9384799577
31,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Evan Gattis,Josh Reddick,Rich Hill,DJ LeMahieu,Nolan Arenado,Bryce Harper,113.174033333,35000.0,395.038791779,19.8755828035
32,Russell Martin,Steven Moya,Prince Fielder,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,113.1648,34700.0,444.086760098,21.0733661312
33,Justin Upton,Russell Martin,Miguel Cabrera,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,113.121966667,35000.0,643.930866472,25.375792923
34,Russell Martin,Troy Tulowitzki,Miguel Cabrera,George Springer,Josh Reddick,Rich Hill,Nolan Arenado,Howie Kendrick,Bryce Harper,113.1025,34800.0,315.921575878,17.774182847
35,Justin Upton,Troy Tulowitzki,Miguel Cabrera,Jason Kipnis,Evan Gattis,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,113.085466667,35000.0,463.190773577,21.5218673348
