"","name","pos","mean","cost","team"
"1","Pedro Alvarez","3B",7.86193333333,2700,"BAL"
"2","Jose Abreu","1B",9.0361,2800,"CHW"
"3","Brett Lawrie","2B",7.2088,3100,"CHW"
"4","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"5","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"6","Alex Rodriguez","3B",6.7137,2400,"NYY"
"7","Devon Travis","2B",7.01396666667,2700,"TOR"
"8","Logan Forsythe","2B",8.80803333333,3500,"TBR"
"9","Steven Souza Jr.","OF",9.0107,2400,"TBR"
"10",NA,NA,NA,NA,NA
"11","Pedro Alvarez","3B",7.86193333333,2700,"BAL"
"12","Jose Abreu","1B",9.0361,2800,"CHW"
"13","Brett Lawrie","2B",7.2088,3100,"CHW"
"14","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"15","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"16","Alex Rodriguez","3B",6.7137,2400,"NYY"
"17","Devon Travis","2B",7.01396666667,2700,"TOR"
"18","Logan Forsythe","2B",8.80803333333,3500,"TBR"
"19","Steven Souza Jr.","OF",9.0107,2400,"TBR"
"20",NA,NA,NA,NA,NA
"21","Pedro Alvarez","3B",7.86193333333,2700,"BAL"
"22","Jose Abreu","1B",9.0361,2800,"CHW"
"23","Brett Lawrie","2B",7.2088,3100,"CHW"
"24","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"25","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"26","Alex Rodriguez","3B",6.7137,2400,"NYY"
"27","Devon Travis","2B",7.01396666667,2700,"TOR"
"28","Logan Forsythe","2B",8.80803333333,3500,"TBR"
"29","Steven Souza Jr.","OF",9.0107,2400,"TBR"
"30",NA,NA,NA,NA,NA
"31","Pedro Alvarez","3B",7.86193333333,2700,"BAL"
"32","Jose Abreu","1B",9.0361,2800,"CHW"
"33","Brett Lawrie","2B",7.2088,3100,"CHW"
"34","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"35","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"36","Alex Rodriguez","3B",6.7137,2400,"NYY"
"37","Devon Travis","2B",7.01396666667,2700,"TOR"
"38","Logan Forsythe","2B",8.80803333333,3500,"TBR"
"39","Steven Souza Jr.","OF",9.0107,2400,"TBR"
"40",NA,NA,NA,NA,NA
"41","Pedro Alvarez","3B",7.86193333333,2700,"BAL"
"42","Jose Abreu","1B",9.0361,2800,"CHW"
"43","Brett Lawrie","2B",7.2088,3100,"CHW"
"44","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"45","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"46","Alex Rodriguez","3B",6.7137,2400,"NYY"
"47","Devon Travis","2B",7.01396666667,2700,"TOR"
"48","Logan Forsythe","2B",8.80803333333,3500,"TBR"
"49","Steven Souza Jr.","OF",9.0107,2400,"TBR"
"50",NA,NA,NA,NA,NA
"51","Pedro Alvarez","3B",7.86193333333,2700,"BAL"
"52","Jose Abreu","1B",9.0361,2800,"CHW"
"53","Brett Lawrie","2B",7.2088,3100,"CHW"
"54","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"55","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"56","Alex Rodriguez","3B",6.7137,2400,"NYY"
"57","Devon Travis","2B",7.01396666667,2700,"TOR"
"58","Logan Forsythe","2B",8.80803333333,3500,"TBR"
"59","Steven Souza Jr.","OF",9.0107,2400,"TBR"
"60",NA,NA,NA,NA,NA
"61","Pedro Alvarez","3B",7.86193333333,2700,"BAL"
"62","Jose Abreu","1B",9.0361,2800,"CHW"
"63","Brett Lawrie","2B",7.2088,3100,"CHW"
"64","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"65","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"66","Alex Rodriguez","3B",6.7137,2400,"NYY"
"67","Devon Travis","2B",7.01396666667,2700,"TOR"
"68","Logan Forsythe","2B",8.80803333333,3500,"TBR"
"69","Steven Souza Jr.","OF",9.0107,2400,"TBR"
"70",NA,NA,NA,NA,NA
"71","Pedro Alvarez","3B",7.86193333333,2700,"BAL"
"72","Jose Abreu","1B",9.0361,2800,"CHW"
"73","Brett Lawrie","2B",7.2088,3100,"CHW"
"74","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"75","Troy Tulowitzki","SS",8.76093333333,3200,"TOR"
"76","Alex Rodriguez","3B",6.7137,2400,"NYY"
"77","Devon Travis","2B",7.01396666667,2700,"TOR"
"78","Logan Forsythe","2B",8.80803333333,3500,"TBR"
"79","Steven Souza Jr.","OF",9.0107,2400,"TBR"
"80",NA,NA,NA,NA,NA
"81","Pedro Alvarez","3B",7.86193333333,2700,"BAL"
"82","Jose Abreu","1B",9.0361,2800,"CHW"
"83","Brett Lawrie","2B",7.2088,3100,"CHW"
