name,pos,mean,cost,team
James McCann,C,3.62333333333,2100.0,DET
Justin Upton,OF,5.86666666667,2700.0,DET
Michael Saunders,OF,5.59533333333,3500.0,TOR
Russell Martin,C,5.525,2700.0,TOR
Troy Tulowitzki,SS,5.787,2600.0,TOR
Steven Moya,OF,5.895,2200.0,DET
Edwin Encarnacion,1B,7.70166666667,4300.0,TOR
Josh Donaldson,3B,7.42766666667,4600.0,TOR
Darwin Barney,SS,3.76233333333,2400.0,TOR
Ian Kinsler,2B,5.57633333333,4000.0,DET
Justin Smoak,1B,5.04533333333,3000.0,TOR
Nick Castellanos,3B,5.68833333333,3800.0,DET
Miguel Cabrera,1B,7.86033333333,3300.0,DET
Jose Iglesias,SS,3.74266666667,2300.0,DET
Victor Martinez,C,6.57933333333,3900.0,DET
Cameron Maybin,OF,5.11766666667,3200.0,DET
Ezequiel Carrera,OF,4.674,3200.0,TOR
Kevin Pillar,OF,4.18766666667,2900.0,TOR
Drew Hutchison,P,20.6866166667,7800.0,TOR
Justin Verlander,P,22.72875,8700.0,DET
Rougned Odor,2B,5.82333333333,3400.0,TEX
Prince Fielder,1B,6.85266666667,2700.0,TEX
Eduardo Nunez,SS,5.279,4200.0,MIN
Elvis Andrus,SS,4.492,3100.0,TEX
Miguel Sano,OF,6.82766666667,4000.0,MIN
Jurickson Profar,2B,5.54233333333,2800.0,TEX
Shin-Soo Choo,OF,6.868,3900.0,TEX
Brian Dozier,2B,5.397,4100.0,MIN
Eddie Rosario,OF,4.64166666667,2000.0,MIN
Robbie Grossman,OF,4.65233333333,2700.0,MIN
Byron Buxton,OF,4.272,2800.0,MIN
Joe Mauer,1B,5.54633333333,3200.0,MIN
Max Kepler,OF,5.04566666667,3500.0,MIN
Kurt Suzuki,C,4.03,2700.0,MIN
Nomar Mazara,OF,5.567,2700.0,TEX
Robinson Chirinos,C,4.946,2400.0,TEX
Adrian Beltre,3B,6.704,3700.0,TEX
Ian Desmond,OF,6.15566666667,4000.0,TEX
Chi Chi Gonzalez,P,16.1116,6100.0,TEX
Tyler Duffey,P,18.2191833333,5700.0,MIN
Carlos Beltran,OF,6.16,3200.0,NYY
Jose Ramirez,3B,5.01166666667,3000.0,CLE
Didi Gregorius,SS,4.79933333333,2400.0,NYY
Chris Gimenez,C,4.191,2000.0,CLE
Rajai Davis,OF,4.42666666667,3300.0,CLE
Chase Headley,3B,4.768,2300.0,NYY
Brett Gardner,OF,5.36866666667,3100.0,NYY
Mike Napoli,1B,6.09,3000.0,CLE
Starlin Castro,2B,4.63033333333,2200.0,NYY
Carlos Santana,1B,7.36066666667,3800.0,CLE
Mark Teixeira,1B,6.04133333333,2500.0,NYY
Tyler Naquin,OF,4.82,3900.0,CLE
Francisco Lindor,SS,5.75633333333,3400.0,CLE
Brian McCann,C,6.429,3000.0,NYY
Jason Kipnis,2B,5.899,2900.0,CLE
Lonnie Chisenhall,OF,5.64166666667,2400.0,CLE
Jacoby Ellsbury,OF,5.61433333333,2600.0,NYY
Rob Refsnyder,1B,4.416,2600.0,NYY
Trevor Bauer,P,20.9633166667,9200.0,CLE
Ivan Nova,P,18.4169666667,6800.0,NYY
Jose Altuve,2B,5.31866666667,3900.0,HOU
Jason Castro,C,3.453,2500.0,HOU
Marwin Gonzalez,1B,4.19466666667,3000.0,HOU
Jed Lowrie,2B,5.27533333333,2700.0,OAK
Carlos Gomez,OF,4.75733333333,3200.0,HOU
Coco Crisp,OF,5.698,3200.0,OAK
Evan Gattis,C,5.06766666667,2500.0,HOU
George Springer,OF,6.27566666667,3100.0,HOU
Danny Valencia,3B,5.97633333333,3300.0,OAK
Luis Valbuena,3B,4.617,3000.0,HOU
Jake Marisnick,OF,3.55966666667,2000.0,HOU
Stephen Vogt,C,5.47766666667,3000.0,OAK
Josh Reddick,OF,6.62366666667,2700.0,OAK
Jake Smolinski,OF,4.61733333333,2600.0,OAK
Khris Davis,OF,6.576,3200.0,OAK
Marcus Semien,SS,5.296,3100.0,OAK
Carlos Correa,SS,5.46333333333,2900.0,HOU
Yonder Alonso,1B,4.79566666667,2600.0,OAK
Doug Fister,P,15.51665,7300.0,HOU
Rich Hill,P,25.9915666667,10000.0,OAK
Mark Reynolds,1B,7.02,3700.0,COL
Trevor Story,SS,6.54,3200.0,COL
Cameron Rupp,C,5.46166666667,3500.0,PHI
Ryan Howard,1B,6.023,3200.0,PHI
Nick Hundley,C,5.79533333333,3200.0,COL
Cody Asche,OF,6.09633333333,3400.0,PHI
Freddy Galvis,SS,4.66366666667,3100.0,PHI
DJ LeMahieu,2B,5.82566666667,3400.0,COL
Odubel Herrera,OF,5.961,4200.0,PHI
Peter Bourjos,OF,5.412,3500.0,PHI
Charlie Blackmon,OF,6.56166666667,4100.0,COL
Cesar Hernandez,2B,4.314,2900.0,PHI
Maikel Franco,3B,6.78066666667,3800.0,PHI
Carlos Gonzalez,OF,8.25233333333,4300.0,COL
Nolan Arenado,3B,8.95533333333,4400.0,COL
Chad Bettis,P,21.5789833333,6200.0,COL
Adam Morgan,P,18.7843166667,5600.0,PHI
Trayce Thompson,OF,4.73266666667,3100.0,LAD
Yasmani Grandal,C,3.99933333333,2500.0,LAD
Matt Kemp,OF,5.323,3400.0,SDP
Melvin Upton Jr.,OF,4.53,3100.0,SDP
Scott Van Slyke,OF,4.54566666667,2100.0,LAD
Howie Kendrick,2B,4.741,2100.0,LAD
Wil Myers,1B,5.56966666667,3700.0,SDP
Justin Turner,3B,5.04033333333,2800.0,LAD
Alexei Ramirez,SS,3.409,2200.0,SDP
Adrian Gonzalez,1B,5.06566666667,2500.0,LAD
Corey Seager,SS,5.05866666667,3000.0,LAD
Alex Dickerson,OF,4.10233333333,2600.0,SDP
Yangervis Solarte,3B,4.34533333333,3200.0,SDP
Ryan Schimpf,3B,4.165,2200.0,SDP
Derek Norris,C,4.37266666667,3400.0,SDP
Yasiel Puig,OF,5.13266666667,2600.0,LAD
Drew Pomeranz,P,25.5372,10400.0,SDP
Hyun-Jin Ryu,P,22.2146166667,8700.0,LAD
Nelson Cruz,OF,6.488,3100.0,SEA
Robinson Cano,2B,5.24466666667,4100.0,SEA
Alcides Escobar,SS,3.53266666667,2300.0,KCR
Daniel Robertson,OF,3.50766666667,2000.0,SEA
Dae-Ho Lee,1B,5.18633333333,2300.0,SEA
Ketel Marte,SS,3.937,2100.0,SEA
Paulo Orlando,OF,3.703,2600.0,KCR
Salvador Perez,C,4.99066666667,2600.0,KCR
Franklin Gutierrez,OF,5.188,3300.0,SEA
Kyle Seager,3B,5.147,3200.0,SEA
Kendrys Morales,1B,4.95633333333,2900.0,KCR
Shawn O'Malley,OF,3.26966666667,2200.0,SEA
Brett Eibner,OF,4.49166666667,2000.0,KCR
Eric Hosmer,1B,5.041,3300.0,KCR
Chris Iannetta,C,4.44666666667,2800.0,SEA
Alex Gordon,OF,5.21766666667,2800.0,KCR
Cheslor Cuthbert,3B,4.58166666667,2500.0,KCR
Whit Merrifield,2B,4.43066666667,2700.0,KCR
Danny Duffy,P,23.1385666667,8800.0,KCR
James Paxton,P,21.8236833333,7900.0,SEA
Anthony Rendon,3B,4.81366666667,2200.0,WAS
Daniel Murphy,2B,5.74633333333,3800.0,WAS
James Loney,1B,4.349,2700.0,NYM
Curtis Granderson,OF,5.09333333333,3600.0,NYM
Ben Revere,OF,4.758,3400.0,WAS
Brandon Nimmo,OF,3.721,2200.0,NYM
Asdrubal Cabrera,SS,4.05066666667,2600.0,NYM
Yoenis Cespedes,OF,5.50566666667,4000.0,NYM
Danny Espinosa,SS,4.86733333333,2800.0,WAS
Travis d'Arnaud,C,4.381,2500.0,NYM
Neil Walker,2B,4.82333333333,3600.0,NYM
Wilson Ramos,C,5.88666666667,3000.0,WAS
Clint Robinson,1B,4.94066666667,2000.0,WAS
Jayson Werth,OF,5.68533333333,2800.0,WAS
Jose Reyes,3B,4.463,3000.0,NYM
Bryce Harper,OF,8.40266666667,3900.0,WAS
Lucas Giolito,P,21.23305,7200.0,WAS
Bartolo Colon,P,17.4101333333,7200.0,NYM
