name,pos,mean,cost,k/e
Logan Forsythe,2B,6.6253,3300.0,0
Evan Longoria,3B,7.70123333333,3200.0,0
Andrelton Simmons,SS,5.05633333333,2800.0,0
Jefry Marte,3B,5.75676666667,2400.0,0
Johnny Giavotella,2B,5.4155,2400.0,0
Hank Conger,C,4.1385,2100.0,0
Steven Souza Jr.,OF,6.50703333333,2500.0,0
Albert Pujols,1B,8.57363333333,3800.0,0
Oswaldo Arcia,OF,5.83143333333,2200.0,0
Yunel Escobar,3B,6.59503333333,2800.0,0
Kole Calhoun,OF,7.35653333333,3500.0,0
C.J. Cron,1B,6.71443333333,3100.0,0
Mike Trout,OF,10.0895666667,4500.0,0
Brandon Guyer,OF,5.66046666667,3000.0,0
Brad Miller,SS,5.93903333333,3800.0,0
Hector Santiago,P,37.834,8200.0,0
Blake Snell,P,31.992,7300.0,0
James McCann,C,4.70506666667,2100.0,0
Justin Upton,OF,7.97693333333,2700.0,0
Michael Saunders,OF,7.36513333333,3500.0,0
Russell Martin,C,6.9514,2700.0,0
Troy Tulowitzki,SS,7.89736666667,2600.0,0
Steven Moya,OF,7.76116666667,2200.0,0
Edwin Encarnacion,1B,10.6274,4300.0,0
Josh Donaldson,3B,10.0866333333,4600.0,0
Ian Kinsler,2B,7.39243333333,4000.0,0
Justin Smoak,1B,6.38306666667,3000.0,0
Nick Castellanos,3B,6.98243333333,3800.0,0
Miguel Cabrera,1B,10.3434,3300.0,0
Jose Iglesias,SS,4.8028,2300.0,0
Victor Martinez,C,8.26846666667,3900.0,0
Cameron Maybin,OF,6.4527,3200.0,0
Ezequiel Carrera,OF,6.06646666667,3200.0,0
Kevin Pillar,OF,5.76276666667,2900.0,0
Drew Hutchison,P,32.727,7800.0,0
Justin Verlander,P,35.2846666667,8700.0,0
Rougned Odor,2B,7.32643333333,3400.0,0
Prince Fielder,1B,8.53846666667,2700.0,0
Eduardo Nunez,SS,6.55793333333,4200.0,0
Elvis Andrus,SS,5.51076666667,3100.0,0
Kennys Vargas,1B,8.38693333333,2100.0,0
Miguel Sano,OF,9.56466666667,4000.0,0
Jurickson Profar,2B,6.6679,2800.0,0
Shin-Soo Choo,OF,8.97686666667,3900.0,0
Brian Dozier,2B,7.35246666667,4100.0,0
Robbie Grossman,OF,6.15326666667,2700.0,0
Joe Mauer,1B,7.25936666667,3200.0,0
Max Kepler,OF,6.1197,3500.0,0
Kurt Suzuki,C,4.9935,2700.0,0
Nomar Mazara,OF,7.8681,2700.0,0
Robinson Chirinos,C,6.19736666667,2400.0,0
Adrian Beltre,3B,8.3706,3700.0,0
Ian Desmond,OF,7.8021,4000.0,0
Chi Chi Gonzalez,P,25.893,6100.0,0
Tyler Duffey,P,27.964,5700.0,0
Carlos Beltran,OF,7.9054,3200.0,0
Mike Napoli,1B,8.0848,3000.0,0
Jose Ramirez,3B,6.17266666667,3000.0,0
Didi Gregorius,SS,5.46796666667,2400.0,0
Rajai Davis,OF,5.62266666667,3300.0,0
Chase Headley,3B,5.90326666667,2300.0,0
Brett Gardner,OF,6.7174,3100.0,0
Starlin Castro,2B,5.53756666667,2200.0,0
Carlos Santana,1B,9.68303333333,3800.0,0
Mark Teixeira,1B,7.47246666667,2500.0,0
Tyler Naquin,OF,5.89003333333,3900.0,0
Brian McCann,C,8.13353333333,3000.0,0
Jason Kipnis,2B,7.52683333333,2900.0,0
Lonnie Chisenhall,OF,7.23086666667,2400.0,0
Jacoby Ellsbury,OF,6.91273333333,2600.0,0
Francisco Lindor,SS,7.08103333333,3400.0,0
Trevor Bauer,P,34.3656666667,9200.0,0
Ivan Nova,P,28.892,6800.0,0
Jose Altuve,2B,6.7551,3900.0,0
Jason Castro,C,4.6086,2500.0,0
Colby Rasmus,OF,6.23766666667,2900.0,0
Marwin Gonzalez,1B,5.0905,3000.0,0
Jed Lowrie,2B,6.62543333333,2700.0,0
Carlos Gomez,OF,5.62636666667,3200.0,0
Coco Crisp,OF,7.24493333333,3200.0,0
Evan Gattis,C,6.47796666667,2500.0,0
George Springer,OF,8.03146666667,3100.0,0
Danny Valencia,3B,7.64233333333,3300.0,0
Luis Valbuena,3B,6.12676666667,3000.0,0
Stephen Vogt,C,7.1503,3000.0,0
