name,pos,mean,cost,team
James McCann,C,4.62873333333,2100.0,DET
Justin Upton,OF,7.59653333333,2700.0,DET
Michael Saunders,OF,7.27036666667,3500.0,TOR
Russell Martin,C,7.53266666667,2700.0,TOR
Troy Tulowitzki,SS,7.77476666667,2600.0,TOR
Steven Moya,OF,7.7598,2200.0,DET
Edwin Encarnacion,1B,10.3147333333,4300.0,TOR
Josh Donaldson,3B,9.78933333333,4600.0,TOR
Darwin Barney,SS,4.6351,2400.0,TOR
Ian Kinsler,2B,7.1109,4000.0,DET
Justin Smoak,1B,6.47333333333,3000.0,TOR
Nick Castellanos,3B,7.31146666667,3800.0,DET
Miguel Cabrera,1B,10.4046666667,3300.0,DET
Jose Iglesias,SS,4.64273333333,2300.0,DET
Victor Martinez,C,8.31763333333,3900.0,DET
Cameron Maybin,OF,6.47583333333,3200.0,DET
Ezequiel Carrera,OF,5.81916666667,3200.0,TOR
Kevin Pillar,OF,5.34716666667,2900.0,TOR
Drew Hutchison,P,32.4093333333,7800.0,TOR
Justin Verlander,P,35.523,8700.0,DET
Rougned Odor,2B,7.23833333333,3400.0,TEX
Prince Fielder,1B,8.56553333333,2700.0,TEX
Eduardo Nunez,SS,6.5984,4200.0,MIN
Elvis Andrus,SS,5.35346666667,3100.0,TEX
Miguel Sano,OF,9.34296666667,4000.0,MIN
Jurickson Profar,2B,6.30083333333,2800.0,TEX
Shin-Soo Choo,OF,8.69386666667,3900.0,TEX
Brian Dozier,2B,7.07086666667,4100.0,MIN
Robbie Grossman,OF,5.9283,2700.0,MIN
Byron Buxton,OF,5.03056666667,2800.0,MIN
Joe Mauer,1B,7.164,3200.0,MIN
Max Kepler,OF,6.30773333333,3500.0,MIN
Kurt Suzuki,C,5.02583333333,2700.0,MIN
Nomar Mazara,OF,7.7627,2700.0,TEX
Robinson Chirinos,C,6.1505,2400.0,TEX
Adrian Beltre,3B,7.85066666667,3700.0,TEX
Ian Desmond,OF,8.08506666667,4000.0,TEX
Chi Chi Gonzalez,P,26.4366666667,6100.0,TEX
Tyler Duffey,P,28.4796666667,5700.0,MIN
Carlos Beltran,OF,8.02043333333,3200.0,NYY
Jose Ramirez,3B,6.1629,3000.0,CLE
Didi Gregorius,SS,5.8118,2400.0,NYY
Chris Gimenez,C,5.23676666667,2000.0,CLE
Rajai Davis,OF,5.5684,3300.0,CLE
Chase Headley,3B,6.0584,2300.0,NYY
Brett Gardner,OF,7.22336666667,3100.0,NYY
Mike Napoli,1B,8.10703333333,3000.0,CLE
Starlin Castro,2B,5.7263,2200.0,NYY
Carlos Santana,1B,9.7215,3800.0,CLE
Mark Teixeira,1B,8.14366666667,2500.0,NYY
Tyler Naquin,OF,6.08493333333,3900.0,CLE
Francisco Lindor,SS,7.15606666667,3400.0,CLE
Brian McCann,C,8.30103333333,3000.0,NYY
Jason Kipnis,2B,7.50176666667,2900.0,CLE
Lonnie Chisenhall,OF,7.28183333333,2400.0,CLE
Jacoby Ellsbury,OF,7.32996666667,2600.0,NYY
Rob Refsnyder,1B,5.58303333333,2600.0,NYY
Trevor Bauer,P,33.038,9200.0,CLE
Ivan Nova,P,29.152,6800.0,NYY
Jose Altuve,2B,7.07063333333,3900.0,HOU
Jason Castro,C,4.83333333333,2500.0,HOU
Marwin Gonzalez,1B,5.25716666667,3000.0,HOU
Jed Lowrie,2B,6.47436666667,2700.0,OAK
Carlos Gomez,OF,5.85826666667,3200.0,HOU
Coco Crisp,OF,7.01076666667,3200.0,OAK
Evan Gattis,C,6.76633333333,2500.0,HOU
George Springer,OF,8.56593333333,3100.0,HOU
Danny Valencia,3B,7.55156666667,3300.0,OAK
Luis Valbuena,3B,6.47076666667,3000.0,HOU
Stephen Vogt,C,7.20046666667,3000.0,OAK
Josh Reddick,OF,8.8193,2700.0,OAK
Khris Davis,OF,8.29553333333,3200.0,OAK
Marcus Semien,SS,6.6294,3100.0,OAK
Carlos Correa,SS,7.30096666667,2900.0,HOU
Yonder Alonso,1B,5.86636666667,2600.0,OAK
Doug Fister,P,24.339,7300.0,HOU
Rich Hill,P,41.1173333333,10000.0,OAK
Mark Reynolds,1B,9.8557,3700.0,COL
Cody Asche,OF,7.7558,3400.0,PHI
Cameron Rupp,C,6.96616666667,3500.0,PHI
Nick Hundley,C,7.5055,3200.0,COL
Peter Bourjos,OF,7.15883333333,3500.0,PHI
Freddy Galvis,SS,5.43816666667,3100.0,PHI
DJ LeMahieu,2B,7.42706666667,3400.0,COL
Odubel Herrera,OF,7.34413333333,4200.0,PHI
Trevor Story,SS,8.76363333333,3200.0,COL
Charlie Blackmon,OF,8.4387,4100.0,COL
Cesar Hernandez,2B,5.03986666667,2900.0,PHI
Maikel Franco,3B,8.63603333333,3800.0,PHI
Carlos Gonzalez,OF,11.0816666667,4300.0,COL
Nolan Arenado,3B,11.5153333333,4400.0,COL
Chad Bettis,P,33.1246666667,6200.0,COL
