name,pos,mean,cost,team
Mark Trumbo,OF,8.02713333333,3300.0,BAL
Jonathan Schoop,2B,6.62723333333,3800.0,BAL
Andrelton Simmons,SS,5.64996666667,2900.0,LAA
Johnny Giavotella,2B,6.08873333333,2800.0,LAA
Carlos Perez,C,5.55026666667,2500.0,LAA
Manny Machado,3B,8.35403333333,4100.0,BAL
Albert Pujols,1B,9.4882,3900.0,LAA
Yunel Escobar,3B,7.45206666667,3300.0,LAA
Daniel Nava,OF,6.4786,2100.0,LAA
Kole Calhoun,OF,9.06836666667,3900.0,LAA
Chris Davis,1B,9.37943333333,4000.0,BAL
C.J. Cron,1B,8.20406666667,3100.0,LAA
Pedro Alvarez,3B,7.86193333333,2700.0,BAL
Mike Trout,OF,12.0035,4900.0,LAA
Hyun-soo Kim,OF,7.47276666667,2600.0,BAL
Matt Wieters,C,6.67593333333,2600.0,BAL
Adam Jones,OF,8.03076666667,3000.0,BAL
J.J. Hardy,SS,5.03093333333,2300.0,BAL
Ubaldo Jimenez,P,27.0553333333,6200.0,BAL
Matt Shoemaker,P,34.7756666667,7700.0,LAA
Michael Bourn,OF,5.0247,2300.0,ARI
Brandon Crawford,SS,5.71563333333,3100.0,SFG
Jake Lamb,3B,5.83956666667,3700.0,ARI
Yasmany Tomas,OF,5.07913333333,2600.0,ARI
Jean Segura,2B,5.5551,3300.0,ARI
Jarrett Parker,OF,5.66436666667,2100.0,SFG
Grant Green,SS,5.43266666667,2500.0,SFG
Mac Williamson,OF,5.875,2200.0,SFG
Brandon Belt,1B,7.27393333333,3800.0,SFG
Paul Goldschmidt,1B,7.57573333333,4200.0,ARI
Ruben Tejada,SS,4.52976666667,2100.0,SFG
Chris Herrmann,C,4.17523333333,3100.0,ARI
Angel Pagan,OF,5.64936666667,2900.0,SFG
Nick Ahmed,SS,3.86606666667,2300.0,ARI
Welington Castillo,C,5.49723333333,3000.0,ARI
Buster Posey,C,7.73323333333,3800.0,SFG
Jeff Samardzija,P,35.984,9100.0,SFG
Patrick Corbin,P,33.3203333333,6500.0,ARI
Jose Abreu,1B,9.0361,2800.0,CHW
Brett Lawrie,2B,7.2088,3100.0,CHW
Todd Frazier,3B,8.6628,3700.0,CHW
Nick Markakis,OF,4.81356666667,2400.0,ATL
Jace Peterson,2B,4.73343333333,2800.0,ATL
Jeff Francoeur,OF,4.83723333333,2400.0,ATL
Dioner Navarro,C,6.49833333333,2900.0,CHW
Tyler Flowers,C,4.947,2500.0,ATL
Freddie Freeman,1B,7.13483333333,3300.0,ATL
Adam Eaton,OF,6.8548,3100.0,CHW
Tim Anderson,SS,6.93123333333,2800.0,CHW
Gordon Beckham,2B,4.50873333333,2600.0,ATL
Adonis Garcia,3B,5.77323333333,2100.0,ATL
Erick Aybar,SS,3.90563333333,2100.0,ATL
Melky Cabrera,OF,6.8933,3500.0,CHW
Chase d'Arnaud,3B,5.08446666667,2000.0,ATL
J.B. Shuck,OF,5.00573333333,2600.0,CHW
Avisail Garcia,OF,6.42253333333,2600.0,CHW
Chris Sale,P,41.5496666667,11000.0,CHW
Matt Wisler,P,27.6453333333,6900.0,ATL
David Freese,1B,5.6472,3000.0,PIT
Starling Marte,OF,6.39,3300.0,PIT
Erik Kratz,C,4.0742,2200.0,PIT
Willson Contreras,C,6.3373,2700.0,CHC
Andrew McCutchen,OF,7.0995,3000.0,PIT
Anthony Rizzo,1B,8.50613333333,4800.0,CHC
Josh Harrison,2B,5.02056666667,2800.0,PIT
Gregory Polanco,OF,6.40426666667,3400.0,PIT
Javier Baez,SS,5.87246666667,2500.0,CHC
Addison Russell,SS,5.6593,2600.0,CHC
John Jaso,1B,6.2229,2900.0,PIT
Jason Heyward,OF,6.33763333333,2800.0,CHC
Jordy Mercer,SS,4.90966666667,2200.0,PIT
Ben Zobrist,2B,6.87063333333,4000.0,CHC
Miguel Montero,C,5.82416666667,2400.0,CHC
Kris Bryant,3B,8.06153333333,3600.0,CHC
Jake Arrieta,P,40.573,11300.0,CHC
Francisco Liriano,P,36.9763333333,8100.0,PIT
Adeiny Hechavarria,SS,4.99363333333,2000.0,MIA
J.T. Realmuto,C,5.79253333333,3400.0,MIA
Zack Cozart,SS,4.68373333333,3000.0,CIN
Billy Hamilton,OF,4.69846666667,2700.0,CIN
Tucker Barnhart,C,3.4672,2700.0,CIN
Marcell Ozuna,OF,8.0065,3600.0,MIA
Brandon Phillips,2B,4.2856,2700.0,CIN
Eugenio Suarez,3B,4.4297,2900.0,CIN
Martin Prado,3B,6.43503333333,2800.0,MIA
Giancarlo Stanton,OF,10.4056666667,3600.0,MIA
Christian Yelich,OF,7.75136666667,3200.0,MIA
Jay Bruce,OF,4.89256666667,3300.0,CIN
Derek Dietrich,2B,7.3027,3300.0,MIA
Adam Duvall,OF,4.5707,3300.0,CIN
Joey Votto,1B,6.026,3200.0,CIN
Chris Johnson,1B,5.75256666667,2400.0,MIA
Dan Straily,P,31.4333333333,6400.0,CIN
Jose Fernandez,P,49.343,11700.0,MIA
James McCann,C,4.8347,2000.0,DET
Justin Upton,OF,8.0132,3100.0,DET
Edwin Encarnacion,1B,11.1218,4700.0,TOR
Michael Saunders,OF,8.56816666667,3900.0,TOR
Russell Martin,C,8.1824,3000.0,TOR
Troy Tulowitzki,SS,8.76093333333,3200.0,TOR
Mike Aviles,2B,5.44033333333,2500.0,DET
Josh Donaldson,3B,11.1035333333,4800.0,TOR
Ian Kinsler,2B,8.03116666667,3600.0,DET
Justin Smoak,1B,7.394,3200.0,TOR
Nick Castellanos,3B,7.67823333333,3800.0,DET
Miguel Cabrera,1B,10.0527666667,3300.0,DET
Jose Iglesias,SS,5.18643333333,2400.0,DET
Victor Martinez,C,8.35163333333,3700.0,DET
Cameron Maybin,OF,7.36063333333,2700.0,DET
Devon Travis,2B,7.01396666667,2700.0,TOR
Ezequiel Carrera,OF,7.45853333333,3200.0,TOR
Kevin Pillar,OF,6.82946666667,2900.0,TOR
Mike Pelfrey,P,23.538,5600.0,DET
J.A. Happ,P,30.2456666667,8500.0,TOR
Rougned Odor,2B,7.8889,3400.0,TEX
Prince Fielder,1B,8.93336666667,2800.0,TEX
Eduardo Nunez,SS,6.4521,3700.0,MIN
Elvis Andrus,SS,6.16466666667,2400.0,TEX
Kennys Vargas,1B,5.67033333333,2100.0,MIN
Miguel Sano,OF,7.8171,4000.0,MIN
Jurickson Profar,2B,7.09473333333,2800.0,TEX
Shin-Soo Choo,OF,9.27246666667,3900.0,TEX
Brian Dozier,2B,6.24443333333,3900.0,MIN
Robbie Grossman,OF,5.1477,3100.0,MIN
Byron Buxton,OF,4.55756666667,2800.0,MIN
Joe Mauer,1B,5.92183333333,3000.0,MIN
Bobby Wilson,C,5.28573333333,2100.0,TEX
Max Kepler,OF,4.87146666667,3500.0,MIN
Kurt Suzuki,C,4.27296666667,2700.0,MIN
Nomar Mazara,OF,7.41076666667,2700.0,TEX
Adrian Beltre,3B,8.43436666667,3500.0,TEX
Ian Desmond,OF,8.96716666667,4400.0,TEX
Cole Hamels,P,35.84,9500.0,TEX
Kyle Gibson,P,25.477,6300.0,MIN
Carlos Beltran,OF,7.34116666667,3400.0,NYY
Mike Napoli,1B,8.02316666667,3400.0,CLE
Jose Ramirez,3B,6.6333,3100.0,CLE
Didi Gregorius,SS,5.6377,2700.0,NYY
Rajai Davis,OF,6.23463333333,3600.0,CLE
Chase Headley,3B,5.455,2100.0,NYY
Yan Gomes,C,6.00966666667,2600.0,CLE
Alex Rodriguez,3B,6.7137,2400.0,NYY
Brett Gardner,OF,6.94643333333,3000.0,NYY
Starlin Castro,2B,4.88063333333,2200.0,NYY
Carlos Santana,1B,10.3420666667,3900.0,CLE
Mark Teixeira,1B,6.7074,2000.0,NYY
Tyler Naquin,OF,6.2168,3900.0,CLE
Brian McCann,C,7.3883,3000.0,NYY
